# Generated from Swiss Ephemeris ephe/astlistn.md.
# Columns: MPC asteroid number, current display name.
1	Ceres
2	Pallas
3	Juno
4	Vesta
5	Astraea
6	Hebe
7	Iris
8	Flora
9	Metis
10	Hygiea
11	Parthenope
12	Victoria
13	Egeria
14	Irene
15	Eunomia
16	Psyche
17	Thetis
18	Melpomene
19	Fortuna
20	Massalia
21	Lutetia
22	Kalliope
23	Thalia
24	Themis
25	Phocaea
26	Proserpina
27	Euterpe
28	Bellona
29	Amphitrite
30	Urania
31	Euphrosyne
32	Pomona
33	Polyhymnia
34	Circe
35	Leukothea
36	Atalante
37	Fides
38	Leda
39	Laetitia
40	Harmonia
41	Daphne
42	Isis
43	Ariadne
44	Nysa
45	Eugenia
46	Hestia
47	Aglaja
48	Doris
49	Pales
50	Virginia
51	Nemausa
52	Europa
53	Kalypso
54	Alexandra
55	Pandora
56	Melete
57	Mnemosyne
58	Concordia
59	Elpis
60	Echo
61	Danaë
62	Erato
63	Ausonia
64	Angelina
65	Cybele
66	Maja
67	Asia
68	Leto
69	Hesperia
70	Panopaea
71	Niobe
72	Feronia
73	Klytia
74	Galatea
75	Eurydike
76	Freia
77	Frigga
78	Diana
79	Eurynome
80	Sappho
81	Terpsichore
82	Alkmene
83	Beatrix
84	Klio
85	Io
86	Semele
87	Sylvia
88	Thisbe
89	Julia
90	Antiope
91	Aegina
92	Undina
93	Minerva
94	Aurora
95	Arethusa
96	Aegle
97	Klotho
98	Ianthe
99	Dike
100	Hekate
101	Helena
102	Miriam
103	Hera
104	Klymene
105	Artemis
106	Dione
107	Camilla
108	Hecuba
109	Felicitas
110	Lydia
111	Ate
112	Iphigenia
113	Amalthea
114	Kassandra
115	Thyra
116	Sirona
117	Lomia
118	Peitho
119	Althaea
120	Lachesis
121	Hermione
122	Gerda
123	Brunhild
124	Alkeste
125	Liberatrix
126	Velleda
127	Johanna
128	Nemesis
129	Antigone
130	Elektra
131	Vala
132	Aethra
133	Cyrene
134	Sophrosyne
135	Hertha
136	Austria
137	Meliboea
138	Tolosa
139	Juewa
140	Siwa
141	Lumen
142	Polana
143	Adria
144	Vibilia
145	Adeona
146	Lucina
147	Protogeneia
148	Gallia
149	Medusa
150	Nuwa
151	Abundantia
152	Atala
153	Hilda
154	Bertha
155	Scylla
156	Xanthippe
157	Dejanira
158	Koronis
159	Aemilia
160	Una
161	Athor
162	Laurentia
163	Erigone
164	Eva
165	Loreley
166	Rhodope
167	Urda
168	Sibylla
169	Zelia
170	Maria
171	Ophelia
172	Baucis
173	Ino
174	Phaedra
175	Andromache
176	Iduna
177	Irma
178	Belisana
179	Klytaemnestra
180	Garumna
181	Eucharis
182	Elsa
183	Istria
184	Dejopeja
185	Eunike
186	Celuta
187	Lamberta
188	Menippe
189	Phthia
190	Ismene
191	Kolga
192	Nausikaa
193	Ambrosia
194	Prokne
195	Eurykleia
196	Philomela
197	Arete
198	Ampella
199	Byblis
200	Dynamene
201	Penelope
202	Chryseïs
203	Pompeja
204	Kallisto
205	Martha
206	Hersilia
207	Hedda
208	Lacrimosa
209	Dido
210	Isabella
211	Isolda
212	Medea
213	Lilaea
214	Aschera
215	Oenone
216	Kleopatra
217	Eudora
218	Bianca
219	Thusnelda
220	Stephania
221	Eos
222	Lucia
223	Rosa
224	Oceana
225	Henrietta
226	Weringia
227	Philosophia
228	Agathe
229	Adelinda
230	Athamantis
231	Vindobona
232	Russia
233	Asterope
234	Barbara
235	Carolina
236	Honoria
237	Coelestina
238	Hypatia
239	Adrastea
240	Vanadis
241	Germania
242	Kriemhild
243	Ida
244	Sita
245	Vera
246	Asporina
247	Eukrate
248	Lameia
249	Ilse
250	Bettina
251	Sophia
252	Clementina
253	Mathilde
254	Augusta
255	Oppavia
